open,high,low,close,volume
145.77,146.48,145.06,145.09,2508062
147.11,147.85,145.53,145.99,6234033
147.38,147.73,146.48,147.35,2723200
145.95,146.98,145.92,146.55,2627999
147.92,148.0,145.8,146.3,4457695
148.57,148.78,147.58,148.38,3273720
147.35,148.59,147.26,147.68,3722927
148.13,148.78,147.4,147.52,3333040
147.66,148.33,147.12,148.06,2932203
147.91,149.0,147.5719,148.13,3731281
147.26,148.1,146.92,147.94,2727796
146.94,147.7275,146.54,146.83,3885949
146.42,146.92,145.7452,146.86,2245402
146.3,146.73,145.62,146.45,2778113
145.41,146.74,145.21,146.02,3561347
144.18,145.47,143.5,145.35,3660147
143.505,144.47,143.22,143.55,2900244
141.72,143.475,141.58,143.41,2559083
142.66,143.225,141.3,141.49,3557734
141.42,142.39,141.11,142.28,2937781
140.0,141.83,139.76,141.41,3915480
141.01,142.66,140.6,140.66,3742058
141.7,142.09,140.56,140.64,3285347
141.5,142.31,141.2,141.87,3656559
143.05,143.365,141.802,141.91,4226563
143.12,143.45,142.205,143.12,2526433
143.04,144.58,142.69,143.25,4735763
144.94,144.94,142.3,142.49,4073038
145.7,146.15,144.11,145.91,4654582
145.0,146.5,144.93,146.18,3438654
145.09,146.09,143.99,144.24,4223204
143.78,145.22,143.3116,144.45,3952640
142.78,144.3,142.31,144.17,4959381
144.25,144.48,142.17,143.33,4798703
143.81,144.605,143.53,144.18,6138902
143.44,143.95,142.85,143.45,6686627
142.3,143.38,141.9,142.97,6331563
140.44,141.25,139.88,141.07,4046441
139.42,140.43,139.0403,140.33,3770813
139.35,140.12,138.7788,139.54,3475442
138.21,139.7799,137.76,138.94,5858741
137.19,140.32,136.56,138.38,10896330
135.53,136.45,135.19,135.48,5519992
134.71,135.95,134.29,135.36,3852058
133.26,134.61,133.1,134.24,3168419
133.91,133.92,132.94,133.4,2861496
133.51,135.07,133.36,133.92,3221422
135.07,135.33,132.575,132.84,3732189
133.66,134.56,133.23,134.44,2925238
131.76,133.05,131.695,132.9,2369425
131.78,133.855,131.75,132.08,2982738
133.235,133.9,131.55,132.16,3508083
133.32,134.31,132.59,134.24,2955870
133.42,134.35,132.87,133.67,1477149
134.69,135.03,133.425,133.81,4236677
131.75,134.35,131.69,134.06,3639836
132.06,132.17,130.91,131.76,2753779
131.3,132.95,130.83,132.34,3219909
129.39,131.41,129.31,131.34,4845649
130.4,130.62,129.18,129.43,11324705
131.68,132.96,130.68,131.17,6013021
135.11,135.39,133.29,133.69,5501272
136.36,137.23,135.89,135.96,4272511
139.23,139.469,137.47,137.48,7473676
137.27,138.8,137.175,138.4,3812582
137.8,138.93,136.94,137.2,4514888
136.51,138.17,136.0,137.6,3927331
136.0,136.62,135.8216,136.42,4500120
134.36,136.1,134.17,135.3,3981748
134.69,135.98,134.01,134.41,4128939
132.5,134.44,132.19,134.38,5772024
132.43,132.94,131.88,132.69,3297951
133.12,133.58,132.27,132.64,3993516
130.38,133.12,130.15,132.42,5375796
128.44,130.145,127.78,129.82,4136086
128.51,129.44,127.46,128.59,11086313
129.56,130.0699,128.26,129.48,3741050
127.06,129.66,126.81,128.89,5612570
125.61,127.23,125.01,126.76,4102854
127.82,127.9,125.47,125.68,3915505
127.24,129.09,127.13,128.18,4592280
